Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M5,2022,Middle East,White,Hybrid,Automatic,3.4,16123,92569,6396,Low
i8,2017,Europe,Grey,Hybrid,Automatic,2.3,159865,78411,3643,Low
X3,2020,Asia,White,Petrol,Manual,1.3,84754,64764,8568,High
M5,2018,Middle East,White,Hybrid,Manual,2.9,124343,85817,4256,Low
M5,2022,Middle East,White,Diesel,Automatic,3.6,79053,92941,6021,Low
5 Series,2021,Europe,Silver,Electric,Automatic,1.7,82898,94533,9260,High
X5,2021,Asia,Grey,Petrol,Automatic,2.3,133867,86201,3647,Low
X6,2010,North America,White,Diesel,Manual,2.8,22762,67106,6059,Low
5 Series,2016,Asia,Black,Hybrid,Automatic,1.6,113352,81543,9261,High
7 Series,2014,Asia,Silver,Hybrid,Manual,3.7,122509,102089,4242,Low
7 Series,2013,Asia,Blue,Diesel,Automatic,4.3,164999,84599,5898,Low
M5,2012,North America,Black,Electric,Automatic,3.2,95359,119142,3731,Low
i3,2023,Africa,White,Hybrid,Automatic,1.5,128476,58244,9999,High
X3,2022,Middle East,Red,Petrol,Manual,2.0,13645,79536,7062,High
X6,2017,Africa,Red,Petrol,Automatic,2.9,93364,98734,4420,Low
5 Series,2021,Europe,Black,Petrol,Manual,2.2,50959,112384,7052,High
M3,2016,Middle East,White,Petrol,Automatic,1.9,196905,100854,5770,Low
3 Series,2021,Asia,White,Electric,Automatic,1.5,124349,75628,9652,High
7 Series,2016,Middle East,Grey,Hybrid,Manual,3.3,47354,107519,4770,Low
X5,2016,North America,Grey,Electric,Automatic,2.9,103827,100460,7498,High
i8,2020,South America,Red,Hybrid,Manual,3.2,144046,93216,8422,High
i3,2017,Africa,Grey,Electric,Automatic,1.1,2969,33527,9524,High
X3,2010,Middle East,Grey,Petrol,Manual,1.8,86516,55967,5543,Low
X6,2015,North America,Black,Diesel,Automatic,2.9,30846,132665,6438,Low
3 Series,2024,Middle East,Red,Petrol,Manual,1.9,106083,73325,7479,High
i8,2012,Africa,Grey,Diesel,Manual,3.3,197407,63805,6945,Low
i8,2012,Asia,Silver,Hybrid,Manual,2.2,18170,100084,3893,Low
X6,2011,Europe,Silver,Diesel,Manual,3.7,5901,76573,6025,Low
7 Series,2018,Europe,Blue,Diesel,Automatic,3.9,6755,127987,4395,Low
7 Series,2011,Middle East,Silver,Diesel,Automatic,2.7,181472,81540,5331,Low
X5,2010,Africa,Grey,Diesel,Automatic,2.4,150680,62424,4016,Low
i8,2015,Middle East,Blue,Hybrid,Automatic,3.0,94576,95689,7873,High
X5,2012,Africa,Red,Petrol,Automatic,3.5,66717,66586,6760,Low
5 Series,2015,Africa,Red,Electric,Automatic,2.4,17064,70086,7215,High
M5,2021,North America,Silver,Petrol,Automatic,2.9,175250,88314,3589,Low
i3,2021,South America,Silver,Electric,Automatic,1.1,26746,48118,6841,Low
M3,2013,South America,Silver,Petrol,Automatic,2.5,9640,74149,6794,Low
X1,2010,Europe,Grey,Diesel,Automatic,2.5,91780,69380,7579,High
7 Series,2014,North America,Grey,Hybrid,Manual,3.1,38594,124018,4024,Low
7 Series,2012,Europe,Red,Petrol,Automatic,3.3,89688,135886,3777,Low
X6,2017,South America,Grey,Electric,Manual,2.7,47395,74678,5738,Low
7 Series,2011,Middle East,Red,Diesel,Manual,3.5,151322,127000,5039,Low
X3,2018,North America,Black,Diesel,Manual,1.8,40054,74701,6914,Low
X3,2021,North America,Red,Electric,Manual,1.0,139507,87994,7644,High
7 Series,2018,Middle East,Grey,Petrol,Manual,3.5,89880,152987,4763,Low
M5,2024,Africa,Silver,Electric,Manual,3.2,175433,96805,3967,Low
X1,2018,Europe,Silver,Hybrid,Manual,1.2,189026,47049,9999,High
i3,2015,Middle East,Grey,Electric,Manual,1.9,15585,48425,9523,High
